run_name                                     , model_size, nodes, gpus, tp, pp, vpp , dp, seq_len, micro_batch, global_batch, precision          , prec_aware_opt, dp_strat, attention_backend, cuda_graph, fusion_opts                                                                  , mode      , target_minutes, target_steps, tok_s_gpu, status  , notes
baseline_760m_4n_bf16                        , 760m      ,     4,   16,  1,  1, none, 16,    4096,           4,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,          100, 67443    , finished, throughput warmup
baseline_760m_4n_bf16_train                  , 760m      ,     4,   16,  1,  1, none, 16,    4096,           4,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , train     ,             60,          500, 66271    , finished, longer validation baseline (train mode)
model_125m                                   , 125m      ,     4,   16,  1,  1, none, 16,    4096,           4,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , train     ,             60,          500, 182868   , finished, longer validation baseline (train mode)
model_350m                                   , 350m      ,     4,   16,  1,  1, none, 16,    4096,           4,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , train     ,             60,          500, 103664   , finished, longer validation baseline (train mode)
model_1.5b                                   , 1.5b      ,     4,   16,  1,  1, none, 16,    4096,           4,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , train     ,             60,          500, 32216    , finished, longer validation baseline (train mode)
model_3b                                     , 3b        ,     4,   16,  1,  1, none, 16,    4096,           4,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , train     ,             60,          500, 18889    , finished, longer validation baseline (train mode)
model_8b                                     , 8b        ,     4,   16,  1,  1, none, 16,    4096,           4,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , train     ,             60,          500, TBD      , OOM     , longer validation baseline (train mode)
bs_mbs2_gbs256                               , 760m      ,     4,   16,  1,  1, none, 16,    4096,           2,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,          100, 56364    , finished, test smaller MBS/more gradient accumulation
bs_mbs8_gbs256                               , 760m      ,     4,   16,  1,  1, none, 16,    4096,           8,          256, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,          100, 71213    , finished, likely better GPU utilization if memory allows
bs_mbs4_gbs512                               , 760m      ,     4,   16,  1,  1, none, 16,    4096,           4,          512, bf16               , none          , distopt , cuDNN            , none      , none                                                                         , throughput,             30,          100, 69248    , finished, test larger effective batch / fewer optimizer updates
